spn	Size_GB_total	coverage	Size_TB_total_all_purities	n_samples
SPN01	180.98	50	0.53021484375	n = 3
SPN02	121.115	50	0.3548291015625	n = 2
SPN03	240.631	50	0.7049736328125	n = 4
SPN04	120.437	50	0.3528427734375	n = 2
SPN05	181.767	50	0.5325205078125	n = 3
SPN06	301.228	50	0.88250390625	n = 5
SPN07	304.974	50	0.893478515625	n = 5
SPN01	361.966	100	1.060447265625	n = 3
SPN02	242.219	100	0.7096259765625	n = 2
SPN03	481.253	100	1.4099208984375	n = 4
SPN04	240.869	100	0.7056708984375	n = 2
SPN05	363.543	100	1.0650673828125	n = 3
SPN06	602.459	100	1.7650166015625	n = 5
SPN07	609.945	100	1.7869482421875	n = 5
SPN01	542.95	150	1.590673828125	n = 3
SPN02	363.337	150	1.0644638671875	n = 2
SPN03	721.872	150	2.114859375	n = 4
SPN04	361.298	150	1.058490234375	n = 2
SPN05	545.329	150	1.5976435546875	n = 3
SPN06	903.679	150	2.6474970703125	n = 5
SPN07	914.909	150	2.6803974609375	n = 5
SPN01	723.932	200	2.12089453125	n = 3
SPN02	484.443	200	1.4192666015625	n = 2
SPN03	962.503	200	2.8198330078125	n = 4
SPN04	481.728	200	1.4113125	n = 2
SPN05	727.109	200	2.1302021484375	n = 3
SPN06	1204.901	200	3.5299833984375	n = 5
SPN07	1219.882	200	3.573873046875	n = 5
