type	sample	mutation_count	coverage	purity	spn	mean_mutation_count
INDEL	SPN01_1.1	3215	50	0.3	SPN01	3100.66666666667
INDEL	SPN01_1.2	1747	50	0.3	SPN01	3100.66666666667
INDEL	SPN01_1.3	4340	50	0.3	SPN01	3100.66666666667
SNV	SPN01_1.1	31107	50	0.3	SPN01	29727.3333333333
SNV	SPN01_1.2	16411	50	0.3	SPN01	29727.3333333333
SNV	SPN01_1.3	41664	50	0.3	SPN01	29727.3333333333
INDEL	SPN02_1.1	17954	50	0.3	SPN02	15503.5
INDEL	SPN02_1.2	13053	50	0.3	SPN02	15503.5
SNV	SPN02_1.1	252124	50	0.3	SPN02	217702
SNV	SPN02_1.2	183280	50	0.3	SPN02	217702
INDEL	SPN03_1.1	321	50	0.3	SPN03	505.5
INDEL	SPN03_2.1	338	50	0.3	SPN03	505.5
INDEL	SPN03_3.1	665	50	0.3	SPN03	505.5
INDEL	SPN03_4.1	698	50	0.3	SPN03	505.5
SNV	SPN03_1.1	1977	50	0.3	SPN03	3716.5
SNV	SPN03_2.1	2216	50	0.3	SPN03	3716.5
SNV	SPN03_3.1	5064	50	0.3	SPN03	3716.5
SNV	SPN03_4.1	5609	50	0.3	SPN03	3716.5
INDEL	SPN04_1.1	402	50	0.3	SPN04	431
INDEL	SPN04_2.1	460	50	0.3	SPN04	431
SNV	SPN04_1.1	2710	50	0.3	SPN04	3064
SNV	SPN04_2.1	3418	50	0.3	SPN04	3064
INDEL	SPN05_1.1	17300	50	0.3	SPN05	19998.3333333333
INDEL	SPN05_1.2	21741	50	0.3	SPN05	19998.3333333333
INDEL	SPN05_1.3	20954	50	0.3	SPN05	19998.3333333333
SNV	SPN05_1.1	171948	50	0.3	SPN05	198264.666666667
SNV	SPN05_1.2	216385	50	0.3	SPN05	198264.666666667
SNV	SPN05_1.3	206461	50	0.3	SPN05	198264.666666667
INDEL	SPN06_1.1	1596	50	0.3	SPN06	2555.4
INDEL	SPN06_1.2	2713	50	0.3	SPN06	2555.4
INDEL	SPN06_2.1	2080	50	0.3	SPN06	2555.4
INDEL	SPN06_3.1	2930	50	0.3	SPN06	2555.4
INDEL	SPN06_3.2	3458	50	0.3	SPN06	2555.4
SNV	SPN06_1.1	15317	50	0.3	SPN06	24501
SNV	SPN06_1.2	25620	50	0.3	SPN06	24501
SNV	SPN06_2.1	20041	50	0.3	SPN06	24501
SNV	SPN06_3.1	28694	50	0.3	SPN06	24501
SNV	SPN06_3.2	32833	50	0.3	SPN06	24501
INDEL	SPN07_1.1	1862	50	0.3	SPN07	8070.2
INDEL	SPN07_1.2	1930	50	0.3	SPN07	8070.2
INDEL	SPN07_1.3	2395	50	0.3	SPN07	8070.2
INDEL	SPN07_2.1	14760	50	0.3	SPN07	8070.2
INDEL	SPN07_2.2	19404	50	0.3	SPN07	8070.2
SNV	SPN07_1.1	17243	50	0.3	SPN07	79601.8
SNV	SPN07_1.2	18052	50	0.3	SPN07	79601.8
SNV	SPN07_1.3	21147	50	0.3	SPN07	79601.8
SNV	SPN07_2.1	147807	50	0.3	SPN07	79601.8
SNV	SPN07_2.2	193760	50	0.3	SPN07	79601.8
INDEL	SPN01_1.1	4315	100	0.3	SPN01	4164.33333333333
INDEL	SPN01_1.2	2426	100	0.3	SPN01	4164.33333333333
INDEL	SPN01_1.3	5752	100	0.3	SPN01	4164.33333333333
SNV	SPN01_1.1	42501	100	0.3	SPN01	40557.3333333333
SNV	SPN01_1.2	23109	100	0.3	SPN01	40557.3333333333
SNV	SPN01_1.3	56062	100	0.3	SPN01	40557.3333333333
INDEL	SPN02_1.1	23797	100	0.3	SPN02	20681.5
INDEL	SPN02_1.2	17566	100	0.3	SPN02	20681.5
SNV	SPN02_1.1	334617	100	0.3	SPN02	290540.5
SNV	SPN02_1.2	246464	100	0.3	SPN02	290540.5
INDEL	SPN03_1.1	397	100	0.3	SPN03	627.5
INDEL	SPN03_2.1	417	100	0.3	SPN03	627.5
INDEL	SPN03_3.1	810	100	0.3	SPN03	627.5
INDEL	SPN03_4.1	886	100	0.3	SPN03	627.5
SNV	SPN03_1.1	2696	100	0.3	SPN03	4794.25
SNV	SPN03_2.1	2949	100	0.3	SPN03	4794.25
SNV	SPN03_3.1	6356	100	0.3	SPN03	4794.25
SNV	SPN03_4.1	7176	100	0.3	SPN03	4794.25
INDEL	SPN04_1.1	484	100	0.3	SPN04	513
INDEL	SPN04_2.1	542	100	0.3	SPN04	513
SNV	SPN04_1.1	3517	100	0.3	SPN04	3947
SNV	SPN04_2.1	4377	100	0.3	SPN04	3947
INDEL	SPN05_1.1	27418	100	0.3	SPN05	30405
INDEL	SPN05_1.2	31051	100	0.3	SPN05	30405
INDEL	SPN05_1.3	32746	100	0.3	SPN05	30405
SNV	SPN05_1.1	274830	100	0.3	SPN05	302618
SNV	SPN05_1.2	309501	100	0.3	SPN05	302618
SNV	SPN05_1.3	323523	100	0.3	SPN05	302618
INDEL	SPN06_1.1	2283	100	0.3	SPN06	3500.8
INDEL	SPN06_1.2	3922	100	0.3	SPN06	3500.8
INDEL	SPN06_2.1	2798	100	0.3	SPN06	3500.8
INDEL	SPN06_3.1	3988	100	0.3	SPN06	3500.8
INDEL	SPN06_3.2	4513	100	0.3	SPN06	3500.8
SNV	SPN06_1.1	22186	100	0.3	SPN06	34078.8
