sample,SBS1,SBS17b,SBS18,SBS5,SBS88,SBS10b,SBS6,SBS9,SBS25,SBS4,SBS11,SBS3,SBS26
SPN01_1.1,0.15,0.2,0.15,0.4,0.1,0,0,0,0,0,0,0,0
SPN01_1.2,0.15,0.2,0.15,0.4,0.1,0,0,0,0,0,0,0,0
SPN01_1.3,0.15,0.2,0.15,0.4,0.1,0,0,0,0,0,0,0,0
SPN02_1.1,0.2,0,0,0.2,0,0.2,0.4,0,0,0,0,0,0
SPN02_1.2,0.2,0,0,0.2,0,0.2,0.4,0,0,0,0,0,0
SPN03_1.1,0.2,0,0,0.3,0,0,0,0.5,0,0,0,0,0
SPN03_2.1,0.2,0,0,0.3,0,0,0,0.5,0,0,0,0,0
SPN03_3.1,0.2,0,0,0.3,0,0,0,0.5,0,0,0,0,0
SPN03_4.1,0.2,0,0,0.3,0,0,0,0.5,0,0,0,0,0
SPN04_1.1,0.2,0,0.3,0.5,0,0,0,0,0,0,0,0,0
SPN04_2.1,0.2,0,0.3,0.5,0,0,0,0,0,0,0,0,0
SPN06_1.1,0.2,0,0,0.3,0,0,0,0,0,0.5,0,0,0
SPN06_1.2,0.2,0,0,0.3,0,0,0,0,0,0.5,0,0,0
SPN06_2.1,0.15,0,0,0.25,0,0,0,0,0.05,0.45,0.1,0,0
SPN06_3.1,0.15,0,0,0.25,0,0,0,0,0,0.45,0.15,0,0
SPN06_3.2,0.15,0,0,0.25,0,0,0,0,0,0.45,0.15,0,0
SPN07_1.1,0.2,0,0,0.45,0,0,0,0,0,0,0,0.35,0
SPN07_1.2,0.2,0,0,0.45,0,0,0,0,0,0,0,0.35,0
SPN07_1.3,0.2,0,0,0.45,0,0,0,0,0,0,0,0.35,0
SPN07_2.1,0.1,0,0,0.3,0,0,0,0,0.13,0,0,0.35,0.12
SPN07_2.2,0.1,0,0,0.3,0,0,0,0,0.13,0,0,0.35,0.12
